id_;proc_inst_id_;business_key_;proc_def_key_;proc_def_id_;start_time_;end_time_;duration_;start_user_id_;start_act_id_;end_act_id_;super_process_instance_id_;super_case_instance_id_;case_inst_id_;delete_reason_;tenant_id_;state_;id_;proc_def_key_;proc_def_id_;execution_id_;case_def_key_;case_def_id_;case_inst_id_;case_execution_id_;task_id_;act_inst_id_;name_;var_type_;rev_;bytearray_id_;double_;long_;text_;text2_;tenant_id_;state_
30036355-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;16.11.2018 12:38;;;;StartEvent_1;;;;;;;ACTIVE;3003ff96-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;;;;;30036355-e994-11e8-85f9-3ca9f4b1daec;invoiceNumber;string;0;;;;GPFE-23232323;;;CREATED
30036355-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;16.11.2018 12:38;;;;StartEvent_1;;;;;;;ACTIVE;3003ff98-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;;;;;30036355-e994-11e8-85f9-3ca9f4b1daec;invoiceDocument;file;0;30058641-e994-11e8-85f9-3ca9f4b1daec;;;invoice.pdf;application/pdf#;;CREATED
30036355-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;16.11.2018 12:38;;;;StartEvent_1;;;;;;;ACTIVE;300426a9-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;;;;;30036355-e994-11e8-85f9-3ca9f4b1daec;amount;double;0;;30.0;;;;;CREATED
30036355-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;16.11.2018 12:38;;;;StartEvent_1;;;;;;;ACTIVE;300426aa-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;;;;;30036355-e994-11e8-85f9-3ca9f4b1daec;creditor;string;0;;;;Great Pizza for Everyone Inc.;;;CREATED
30036355-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;16.11.2018 12:38;;;;StartEvent_1;;;;;;;ACTIVE;300426ab-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;;;;;30036355-e994-11e8-85f9-3ca9f4b1daec;invoiceCategory;string;0;;;;Travel Expenses;;;CREATED
30036355-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;16.11.2018 12:38;;;;StartEvent_1;;;;;;;ACTIVE;3011461f-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;30036355-e994-11e8-85f9-3ca9f4b1daec;;;;;;30036355-e994-11e8-85f9-3ca9f4b1daec;approverGroups;serializable;0;30114622-e994-11e8-85f9-3ca9f4b1daec;;;;java.util.ArrayList;;CREATED
306559a5-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;02.11.2018 12:38;;;;StartEvent_1;;;;;;;ACTIVE;306559a6-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;;;;;306559a5-e994-11e8-85f9-3ca9f4b1daec;invoiceNumber;string;0;;;;BOS-43934;;;CREATED
306559a5-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;02.11.2018 12:38;;;;StartEvent_1;;;;;;;ACTIVE;306580b8-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;;;;;306559a5-e994-11e8-85f9-3ca9f4b1daec;invoiceDocument;file;0;306580c1-e994-11e8-85f9-3ca9f4b1daec;;;invoice.pdf;application/pdf#;;CREATED
306559a5-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;02.11.2018 12:38;;;;StartEvent_1;;;;;;;ACTIVE;306580b9-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;;;;;306559a5-e994-11e8-85f9-3ca9f4b1daec;amount;double;0;;900.0;;;;;CREATED
306559a5-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;02.11.2018 12:38;;;;StartEvent_1;;;;;;;ACTIVE;306580ba-e994-11e8-85f9-3ca9f4b1daec;invoice;invoice:1:2f89c637-e994-11e8-85f9-3ca9f4b1daec;306559a5-e994-11e8-85f9-3ca9f4b1daec;;;;;;306559a5-e994-11e8-85f9-3ca9f4b1daec;creditor;string;0;;;;Bobby's Office Supplies;;;CREATED
